phase,L1,L2,L3
593.5931863727455493,1.1195491736356127847e+40,6.2779803003902028696e+38,1.1304524693860139654e+40
595.59519038076155084,1.0948877545441375363e+40,6.14754320655668176e+38,1.1053703182040293058e+40
597.5971943887775524,1.0707742686753625981e+40,6.0199417582889837405e+38,1.08085007386147795734e+40
599.5991983967936676,1.0471965156314889018e+40,5.8951107800807347467e+38,1.0568791022885080054e+40
601.60120240480966913,1.02414256583715859645e+40,5.772986705548330256e+38,1.03344505320543567576e+40
603.60320641282567067,1.00160075171253702086e+40,5.6535075192080524876e+38,1.0105358508507722467e+40
605.6052104208416722,9.7955966304712314904e+39,5.53661272057347728e+38,9.88139689017509755e+39
607.6072144288577874,9.580081429288143615e+39,5.4222432916990352748e+38,9.6624502666414773255e+39
609.60921843687378896,9.369352789663137686e+39,5.3103416410375422107e+38,9.44840578714387527e+39
611.6112224448897905,9.163304018792837844e+39,5.2008515858369960163e+38,9.239153144097429476e+39
613.61322645290579203,8.9618307751376282323e+39,5.093718301147384424e+38,9.034584489315225166e+39
615.61523046092190725,8.7648310271721371234e+39,4.988888289243828796e+38,8.83459438988556226e+39
617.6172344689379088,8.572205015473726548e+39,4.8863093512215083484e+38,8.6390797874591206537e+39
619.6192384769539103,8.383855174499055007e+39,4.7859305382860648676e+38,8.447939916357854772e+39
621.62124248497002554,8.199686119026699503e+39,4.6877021368017677017e+38,8.2610762879719630055e+39
623.6232464929860271,8.019604572002294072e+39,4.5915756235423581e+38,8.0783926151632432255e+39
625.6252505010020286,7.84351932789257941e+39,4.4975036396484085787e+38,7.8997947731301902594e+39
627.62725450901803015,7.671341217475096946e+39,4.4054399656888975176e+38,7.7251907617809440834e+39
629.62925851703414537,7.502983038212356331e+39,4.3153394793708773047e+38,7.554490632925639471e+39
631.6312625250501469,7.3383595414214723443e+39,4.22715814279516827e+38,7.3876064756212485414e+39
633.63326653306614844,7.177387367043595774e+39,4.140852963138948122e+38,7.224452348042923092e+39
635.63527054108215,7.0199850112372915937e+39,4.0563819704513246038e+38,7.0649442428446603336e+39
637.6372745490982652,6.866072793779471315e+39,3.9737041957174200728e+38,6.909000052491251959e+39
639.63927855711426673,6.715572796148976323e+39,3.8927796340878405584e+38,6.756539504592988903e+39
641.64128256513026827,6.568408849437706539e+39,3.8135692340103562987e+38,6.6074841482352729536e+39
643.6432865731463835,6.424506475557172445e+39,3.736034862613013322e+38,6.4617572926460379587e+39
645.645290581162385,6.2837928585184518064e+39,3.6601392867762733698e+38,6.3192839765928072165e+39
647.64729458917838656,6.1461968144328503176e+39,3.585846153789015802e+38,6.179990936525496451e+39
